REF_DATE,GEO,DGUID,Overtime,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.4,A,,,1
2012-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.3,A,,,1
2012-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.6,A,,,1
2012-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,A,,,1
2012-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.1,A,,,1
2012-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31.4,A,,,1
2012-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,A,,,1
2012-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,A,,,1
2012-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,A,,,1
2012-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.8,A,,,1
2013-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,A,,,1
2013-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.9,A,,,1
2013-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,A,,,1
2013-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.1,A,,,1
2013-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,A,,,1
2013-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,A,,,1
2013-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,A,,,1
2013-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,A,,,1
2013-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,A,,,1
2013-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.8,A,,,1
2013-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,A,,,1
2013-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,A,,,1
2014-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.9,A,,,1
2014-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,A,,,1
2014-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.2,A,,,1
2014-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.9,A,,,1
2014-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.6,A,,,1
2014-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.7,A,,,1
2014-07-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,A,,,1
2014-08-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,31,A,,,1
2014-09-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.6,A,,,1
2014-10-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.9,A,,,1
2014-11-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.5,A,,,1
2014-12-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,A,,,1
2015-01-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30,A,,,1
2015-02-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,29.8,A,,,1
2015-03-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.3,A,,,1
2015-04-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.3,A,,,1
2015-05-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.6,A,,,1
2015-06-01,Canada,2021A000011124,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Hours,152,units,0,v1593692,1.1.2,30.8,A,,,1
